x,y,z,energy
11888,1072,1100,11986.81476
11952,1008,1108,12045.49841
11888,1136,1115,11994.09292
12016,1184,1118,12125.84166
11936,1248,1118,12053.02966
12032,1136,1110,12136.3759
11968,1248,1116,12084.53491
11872,1232,1121,11988.27965
12064,976,1099,12153.20834
11792,1312,1132,11918.6422
11920,1232,1096,12033.5132
11568,1008,1150,11668.64122
11520,544,1160,11591.02825
11536,784,1152,11619.85611
11616,816,1160,11702.26098
